Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent_Africa,Continent_America,Continent_Europe,Score_log
4.419,0.36471,0.41435,0.42215,0.37542,0.05839,1,0,0,1.689911296583977
4.369,0.44025,0.36291,0.46074,0.18093,0.28105,1,0,0,1.6806416714404324
4.35,0.76821,0.7299,0.19847,0.07855,0.039,0,0,0,1.6770965609079151
4.332,0.99355,0.04776,0.49495,0.10461,0.12474,1,0,0,1.6737264023164622
4.307,0.27108,0.48246,0.44017,0.79588,0.19034,0,0,0,1.669026703845758
4.297,0.7419,0.72926,0.40577,0.05547,0.38331,0,0,0,1.6671406225623895
4.292,0.01604,0.22562,0.43054,0.33128,0.06977,1,0,0,1.6661962462527091
4.271,0.83524,0.70806,0.53726,0.40828,0.09179,0,0,0,1.6622200978730697
4.252,0.4225,0.23402,0.49309,0.20618,0.05786,1,0,0,1.6586089564405497
4.218,1.01216,0.76649,0.30587,0.11921,0.00872,0,0,1,1.6521141867145368
4.194,0.8818,0.61712,0.17288,0.11291,0.06324,1,0,0,1.6475041132405566
4.077,0.54649,0.40064,0.35571,0.09131,0.07854,0,0,0,1.6247205359652572
4.033,0.75778,0.16683,0.10384,0.12344,0.07122,1,0,0,1.616016227794223
3.995,0.26074,0.20583,0.38857,0.18798,0.12352,1,0,0,1.608437412100517
3.989,0.67866,0.31051,0.41466,0.12388,0.11686,1,0,0,1.6072354888789002
3.956,0.23906,0.36315,0.22917,0.17441,0.199,1,0,0,1.600598963766896
3.931,0.21102,0.33861,0.45727,0.29066,0.07267,1,0,0,1.5955418072419891
3.904,0.36498,0.4354,0.36772,0.20843,0.10713,1,0,0,1.5900511986339103
3.896,1.06024,0.43372,0.31914,0.06822,0.11091,1,0,0,1.588418545210025
3.845,0.0694,0.29707,0.47692,0.19387,0.15639,1,0,0,1.5779472453427297
3.819,0.46038,0.61114,0.66246,0.40359,0.07247,0,0,0,1.5725664376581956
3.781,0.2852,0.38215,0.32878,0.34377,0.05747,1,0,0,1.5646497296439663
3.681,0.20824,0.46721,0.19184,0.21333,0.08124,1,0,0,1.5435117623179335
3.678,0.0785,0.06699,0.48879,0.23835,0.08289,1,0,0,1.5428706681619873
3.667,0.34193,0.1501,0.23501,0.18386,0.05269,1,0,0,1.5405164669676785
3.656,0.17417,0.24009,0.37725,0.28657,0.12139,1,0,0,1.5381567104291367
3.655,0.46534,0.15185,0.46866,0.20165,0.17922,1,0,0,1.5379419107290304
3.587,0.25812,0.27125,0.39493,0.21747,0.12832,1,0,0,1.523226215615035
3.575,0.31982,0.30335,0.23414,0.3651,0.09719,0,0,0,1.5206066987274847
3.465,0.22208,0.42864,0.59201,0.22628,0.55191,1,0,0,1.4962692143284624
3.34,0.28665,0.3191,0.4845,0.1826,0.0801,1,0,0,1.4678743481123135
3.006,0.6632,0.72193,0.15684,0.47179,0.18906,0,0,0,1.3877932372436264
2.905,0.0153,0.22396,0.1185,0.19727,0.10062,1,0,0,1.3622577832916491
2.839,0.20868,0.28443,0.36453,0.16681,0.10731,1,0,0,1.3452119160186606
7.526,1.44178,0.79504,0.57941,0.36171,0.44453,0,0,1,2.1431203183430187
7.509,1.52733,0.86303,0.58557,0.28083,0.41203,0,0,1,2.14112442686742
7.501,1.42666,0.86733,0.56624,0.47678,0.14975,0,0,1,2.140183803635222
7.498,1.57744,0.79579,0.59609,0.37895,0.35776,0,0,1,2.13983084169262
7.413,1.40598,0.81091,0.57104,0.25492,0.41004,0,0,1,2.1297781285686765
7.404,1.44015,0.8276,0.5737,0.44834,0.31329,0,1,0,2.128707782982754
7.339,1.46468,0.81231,0.55211,0.47416,0.29927,0,0,1,2.1209433051048485
7.334,1.36066,0.83096,0.58147,0.49401,0.41904,0,0,0,2.120343533000262
7.313,1.44443,0.8512,0.56837,0.47407,0.32331,0,0,0,2.117820554548951
7.291,1.45181,0.83121,0.58218,0.38254,0.40867,0,0,1,2.1151705891340815
7.267,1.33766,0.84917,0.36432,0.32288,0.08728,0,0,0,2.1122716862705384
7.119,1.45038,0.80565,0.54355,0.32865,0.21348,0,0,1,2.0942069938803094
7.104,1.50796,0.779,0.48163,0.41077,0.14868,0,1,0,2.092357766946382
7.087,1.06879,0.76146,0.55225,0.22553,0.10547,0,1,0,2.090257834113685
7.039,1.35943,0.77758,0.46823,0.22202,0.12275,0,1,0,2.0843046973458237
6.994,1.44787,0.81487,0.53466,0.30452,0.28551,0,0,1,2.0786912602891316
6.952,1.08754,0.61415,0.40425,0.15776,0.14166,0,1,0,2.073423469354273
6.929,1.42539,0.81959,0.51354,0.2424,0.26248,0,0,1,2.0705269242902617
6.907,1.48341,0.81455,0.54008,0.44963,0.29754,0,0,1,2.06774844308879
6.871,1.69752,0.84542,0.5487,0.27571,0.35329,0,0,1,2.063185119160313
6.778,1.11508,0.71143,0.37709,0.11735,0.18355,0,1,0,2.0512992357335555
6.739,1.64555,0.94719,0.4877,0.32706,0.46987,0,0,0,2.046272480288322
6.725,1.40283,0.80991,0.50036,0.50156,0.27399,0,0,1,2.044461822783809
6.705,1.2167,0.81883,0.37789,0.31595,0.11451,0,1,0,2.041869468772079
6.701,1.18306,0.70835,0.48927,0.2418,0.08423,0,1,0,2.041350190557113
6.65,1.15137,0.69711,0.42284,0.10989,0.07296,0,1,0,2.0347056478384444
6.596,1.30915,0.76376,0.41418,0.09929,0.03986,0,0,1,2.0276217929500393
6.573,1.57352,0.72993,0.56215,0.26591,0.35561,0,0,0,2.0245892901316855
6.545,1.18157,0.72183,0.54388,0.18056,0.21394,0,1,0,2.020885092219812
6.488,1.30782,0.80315,0.54994,0.56237,0.17554,0,0,1,2.013301739175291
6.481,1.03032,0.59659,0.44735,0.15626,0.05399,0,1,0,2.012366472890268
6.478,1.39488,0.83795,0.46562,0.1216,0.17808,0,0,1,2.011965376554922
6.474,1.0893,0.64915,0.49553,0.58696,0.02833,0,0,0,2.011430331063292
6.379,1.48953,0.59267,0.37904,0.15457,0.30008,0,0,0,1.9986381280762295
6.379,1.39729,0.79565,0.32377,0.25495,0.0663,0,0,0,1.9986381280762295
6.375,1.82427,0.71723,0.56679,0.32388,0.48049,0,0,0,1.9980959022258835
6.361,1.34253,0.87896,0.37545,0.17665,0.06137,0,0,1,1.9961957930765688
6.355,1.05266,0.61804,0.21006,0.07044,0.16157,1,0,0,1.995380354053401
6.324,0.83454,0.54039,0.50379,0.28808,0.08701,0,1,0,1.9911566268122642
6.269,1.09686,0.50933,0.52234,0.16665,0.12692,0,1,0,1.9836187305024984
6.239,1.61714,0.63569,0.43166,0.15965,0.23669,0,0,0,1.9794830753110044
6.218,1.44024,0.65696,0.47375,0.17147,0.25772,0,0,0,1.9765779062205968
6.168,1.32572,0.52608,0.48453,0.31935,0.01241,0,1,0,1.9696266756726293
6.084,1.13367,0.61904,0.19847,0.0425,0.08304,0,1,0,1.9578387199205871
6.078,1.27973,0.70367,0.23391,0.13837,0.02947,0,0,1,1.9569913819232716
6.068,0.8737,0.596,0.37269,0.08877,0.10613,0,1,0,1.9555775544574499
6.005,1.25142,0.62366,0.39031,0.41474,0.09081,0,0,0,1.9466241797889703
5.992,0.69384,0.65213,0.46582,0.29773,0.16292,0,1,0,1.9447666383532343
5.987,0.73591,0.50163,0.60848,0.34326,0.28333,0,0,0,1.9440512795703135
5.977,1.35495,0.85102,0.18827,0.16684,0.02556,0,0,1,1.9426190249570996
5.976,0.97306,0.68613,0.4027,0.10074,0.18037,0,1,0,1.9424756866066786
5.956,0.87616,0.45569,0.51231,0.23684,0.10771,0,1,0,1.9396045964920368
5.921,1.38007,0.91491,0.46761,0.10224,0.18985,0,0,0,1.9345602678597262
5.919,1.22943,0.57386,0.4052,0.15011,0.11132,0,0,0,1.934271250516674
5.897,0.69177,0.52309,0.25202,0.19997,0.01903,0,0,1,1.9310865344491543
5.856,1.23228,0.58991,0.32682,0.02736,0.03586,0,0,1,1.9251241812954787
5.835,1.24585,0.69058,0.4519,0.14443,0.055,0,0,1,1.9220564701759129
5.835,1.35948,0.88645,0.25168,0.18824,0.07716,0,0,0,1.9220564701759129
5.822,0.79422,0.4697,0.50961,0.21698,0.07746,0,1,0,1.920152683996454
5.813,1.2692,0.64674,0.18929,0.02025,0.0182,0,0,1,1.918832551791531
5.802,1.13062,0.63104,0.29091,0.13942,0.17457,0,0,1,1.9172166865850038
5.771,1.31141,0.84142,0.43596,0.26322,0.16578,0,0,0,1.9126487865035082
5.768,1.29947,0.79151,0.53164,0.25738,0.03635,0,0,1,1.912205622303922
5.743,0.99602,0.62994,0.37502,0.14527,0.05292,0,1,0,1.908504929752445
5.658,1.08017,0.44006,0.37408,0.22567,0.28467,0,0,0,1.8958191391528332
5.648,1.14372,0.66189,0.46145,0.36951,0.05203,1,0,0,1.894316057553147
5.615,1.06688,0.52304,0.40672,0.17087,0.10339,1,0,0,1.889339797566919
5.56,1.21788,0.63952,0.27996,0.17445,0.0889,0,0,1,1.8809906029559977
5.546,1.31857,0.8488,0.29507,0.27906,0.05228,0,0,0,1.8788541760789887
5.538,0.89373,0.58295,0.46235,0.25296,0.07396,0,1,0,1.8776313083020189
5.528,1.1697,0.67602,0.36712,0.12889,0.00679,0,0,1,1.8761006176618058
5.517,1.27964,0.68098,0.41511,0.08423,0.18519,0,0,1,1.8744141473502434
5.51,0.89333,0.59469,0.43597,0.22245,0.04294,0,1,0,1.873339456220478
5.488,1.18649,0.70524,0.23907,0.18434,0.04002,0,0,1,1.8699543168131119
5.458,1.5107,0.95277,0.48079,0.40097,0.31647,0,0,0,1.8653196723360834
5.44,0.0,0.11466,0.56778,0.27225,0.3118,1,0,0,1.8625285401162623
5.401,0.90145,0.54,0.14396,0.27992,0.06547,0,0,1,1.8564542281598664
5.389,1.16492,0.64718,0.23889,0.04707,0.12348,0,0,0,1.8545777616202064
5.314,0.95104,0.49374,0.39237,0.56521,0.00322,0,0,0,1.8427693901358
5.303,0.99673,0.60712,0.36023,0.14262,0.13297,0,0,0,1.841025710530973
5.291,1.12373,0.54504,0.35327,0.0564,0.17914,0,0,0,1.8391200405878927
5.279,0.81217,0.47036,0.54854,0.21674,0.11757,0,0,0,1.8372107321319724
5.245,1.0278,0.73561,0.44012,0.04959,0.02745,0,0,0,1.831781143577541
5.196,0.8527,0.49759,0.46074,0.48546,0.1616,0,0,0,1.823903922554622
5.185,0.56044,0.55449,0.40212,0.38432,0.04762,0,0,0,1.8221270058444512
5.177,1.03437,0.6458,0.15718,0.20737,0.04339,0,0,1,1.820832716713762
5.163,0.93383,0.70766,0.09511,0.29889,0.0,0,0,1,1.8185636719801062
