Country,Year,Rank,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,ID,Score_log
Lebanon,2015,103,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582,2015103,1.7645595493014006
Hungary,2015,104,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,2015104,1.7578579175523736
Honduras,2015,105,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,2015105,1.7557868087692374
Tajikistan,2015,106,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072,2015106,1.7554412065539433
Tunisia,2015,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,2015107,1.7472849791262255
Palestinian Territories,2015,108,4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905,2015108,1.743094297246774
Bangladesh,2015,109,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569,2015109,1.7394129888558458
Iran,2015,110,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863,2015110,1.738007013228808
Ukraine,2015,111,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,2015111,1.7371272735749899
Iraq,2015,112,4.677,0.98549,0.81889,0.60237,0.0,0.17922,0.13788,2015112,1.7364229241885891
South Africa,2015,113,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,2015113,1.7302386125798046
Ghana,2015,114,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355,2015114,1.728642159912577
Zimbabwe,2015,115,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,2015115,1.724550719534605
Liberia,2015,116,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232,2015116,1.7175745710386785
India,2015,117,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492,2015117,1.7164969847275082
Sudan,2015,118,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,2015118,1.713797927758343
Haiti,2015,119,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,2015119,1.7080154757950943
Congo (Kinshasa),2015,120,4.517,0.0,1.0012,0.09806,0.22605,0.24834,0.07625,2015120,1.707834234290294
Nepal,2015,121,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907,2015121,1.707290312601605
Ethiopia,2015,122,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,2015122,1.7069275337113574
Sierra Leone,2015,123,4.507,0.33024,0.95571,0.0,0.4084,0.21488,0.08786,2015123,1.7060200102803444
Mauritania,2015,124,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461,2015124,1.6930434962888974
Kenya,2015,125,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,2015125,1.689911296583977
Djibouti,2015,126,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,2015126,1.6806416714404324
Armenia,2015,127,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039,2015127,1.6770965609079151
Botswana,2015,128,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,2015128,1.6737264023164622
Myanmar,2015,129,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034,2015129,1.669026703845758
Georgia,2015,130,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331,2015130,1.6671406225623895
Malawi,2015,131,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977,2015131,1.6661962462527091
Sri Lanka,2015,132,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179,2015132,1.6622200978730697
Cameroon,2015,133,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786,2015133,1.6586089564405497
